,id,PID,logk,logs,α,paradigm,domain,AUC,percent_predicted,log_loss
0,0,3017,-5.269164480656327,-0.012190447974135328,0.8580469901634502,deferred,gain,0.8029798200513338,0.92,0.18328522150948906
1,1,3003,-5.166283104817184,-0.06797485364213546,2.5592522880312134,deferred,gain,0.7774609394757412,0.98,0.07235169430945768
2,2,3002,-1.4178796620335425,0.056740985745316934,0.1429217247605992,deferred,gain,0.12374953989813169,0.82,0.477998062407768
3,3,3014,-5.651851365368992,-0.034411974968570964,0.21700960461881236,deferred,gain,0.8493661952194475,0.82,0.39092879064147446
4,4,3029,-4.410691603396252,-0.03828981747737908,0.18697789639317747,deferred,gain,0.6487247194709058,0.76,0.4548626824451559
5,5,3015,-4.428600325991057,-0.7556867296265909,0.8718499084053075,deferred,gain,0.587553390749932,0.92,0.23237311384820042
6,6,3001,-5.240677319529349,-0.8557731755669798,0.31003884385376357,deferred,gain,0.6588940600320918,0.84,0.35614280561784445
7,7,3039,-6.693570307515865,-0.38650837946699623,2.067930700245393,deferred,gain,0.876128202851562,0.94,0.21842739612656806
8,8,3005,-4.844737148213082,0.21123629661220325,4.097325578035351,deferred,gain,0.7692585111884926,1.0,0.013448635177338906
9,9,3011,-6.875116021728852,-0.633817647562863,2.1361159641441416,deferred,gain,0.8386635108506973,0.96,0.15355960179569655
10,10,3010,-2.4662979327539727,0.5409042166273366,0.8224470841798837,deferred,gain,0.18610836971547445,0.94,0.1484615090389374
11,11,3038,-5.29697315005092,-0.6348778595306113,0.6614153936026277,deferred,gain,0.6971879935540327,0.9,0.23003120311850658
12,12,3007,-5.614684236826105,-0.5679310838698485,0.3396692181291723,deferred,gain,0.7424925098889457,0.8,0.31198920242318445
13,13,3074,-3.3863387514670453,0.09007523124595905,0.7740337844820703,deferred,gain,0.428325580514527,0.92,0.1826054819727406
14,14,3049,-2.2306905878164414,-0.38611240579785866,1.4773545991612718,deferred,gain,0.2919776379322105,0.92,0.19436462723334513
15,15,3088,-6.9275893392943235,0.14248825208001967,2.74831758185461,deferred,gain,0.9691161664057842,0.94,0.3008051791524046
16,16,3063,-4.004589815554864,0.26082415659168107,2.251243370418293,deferred,gain,0.5751281880420721,0.98,0.09726768330670948
17,17,3077,-4.788017954765826,-0.7466465499681916,0.2608625631664745,deferred,gain,0.6272780154627422,0.82,0.4196030462821906
18,18,3076,-3.037255341389573,1.5331836680171391,2.4258972618166683,deferred,gain,0.2229422588172688,0.96,0.11788296372138239
19,19,3066,-6.693811553015749,-0.7713328191310751,3.59789134447787,deferred,gain,0.796704483350073,0.98,0.12098448551727849
20,20,3067,-6.570337913297354,0.25554710705214856,2.732741168857826,deferred,gain,0.9667325488270151,0.9,0.5137637768288265
21,21,3059,-3.939761974595542,0.07019543548098198,1.3982261048881228,deferred,gain,0.5546616904709508,0.9,0.2833828484977089
22,22,3065,-2.8964379455757023,0.2369892908271102,2.205789490115657,deferred,gain,0.3066675467522655,0.96,0.17819605506673283
23,23,3064,-5.042839620696143,-0.45982491826484184,0.13846520793863712,deferred,gain,0.6946162892965866,0.68,0.5269414545017486
24,24,3058,-2.100417736926532,-0.46065093024369097,3.3592155781546107,deferred,gain,0.28822227380727183,0.98,0.04056693734543616
25,25,3041,-4.796299825370139,-0.0567921510314993,1.2854771624290942,deferred,gain,0.718650634444072,0.92,0.18985707317984157
26,26,3069,-3.975652345935293,0.044615875695126615,2.999623263325731,deferred,gain,0.5621469474175346,0.98,0.04869933519921144
27,27,3068,-6.325371911323246,0.09367137759812558,0.34629746590557126,deferred,gain,0.9337131385330615,0.88,0.27160209674414004
28,28,3083,-5.392533840713432,-0.5519753375121424,0.6907195840919349,deferred,gain,0.7213563553207274,0.9,0.1910074929605307
29,29,3057,-3.8411813438330698,-0.4441357412597783,2.8352937862498817,deferred,gain,0.5270597014578129,0.98,0.05703534562398245
30,30,3043,-4.755227293747841,-0.5355482604851218,0.35526400632806754,deferred,gain,0.6476194157685201,0.88,0.35290000582436365
31,31,3080,-4.208839438146705,-0.4238994954058634,0.35519742507168206,deferred,gain,0.5826132087424514,0.84,0.3637532972721332
32,32,3084,-2.604032494408545,0.7009212456642187,0.6786240917316821,deferred,gain,0.19163225049947824,0.94,0.14939509160880773
33,33,3052,-2.6022256140189577,-0.5058859551439564,0.5315055797262584,deferred,gain,0.3568201648024698,0.88,0.23116297997947044
34,34,3091,-3.3114220041181563,0.3660752531174961,3.7371092548971436,deferred,gain,0.38677244055214355,0.98,0.11717113312465327
35,35,3044,-5.87688951771462,-1.1291813300455529,1.2162107031238265,deferred,gain,0.6707886887520604,0.94,0.16979449935779622
36,36,3045,-2.0100354038687787,0.11230188799451293,1.460702370409152,deferred,gain,0.1795622076639426,0.92,0.2470980205750709
37,37,3051,-7.3172586734140115,-0.7065349367486764,1.9500607020493153,deferred,gain,0.8523769848583458,0.96,0.08699732272458029
38,38,3079,-2.5662026958254303,1.3916920363383263,3.4378152193422067,deferred,gain,0.14289124625731625,0.96,0.19831237854546074
