,Participant,RA,RB,DA,DB,R,paradigm,domain,id,condition,trial
0,3017,30,30,0,29,1,deferred,gain,0,0,0
1,3017,27,30,0,29,1,deferred,gain,0,0,1
2,3017,24,30,0,29,1,deferred,gain,0,0,2
3,3017,21,30,0,29,1,deferred,gain,0,0,3
4,3017,18,30,0,29,1,deferred,gain,0,0,4
5,3017,15,30,0,29,1,deferred,gain,0,0,5
6,3017,12,30,0,29,1,deferred,gain,0,0,6
7,3017,9,30,0,29,1,deferred,gain,0,0,7
8,3017,6,30,0,29,1,deferred,gain,0,0,8
9,3017,3,30,0,29,1,deferred,gain,0,0,9
10,3017,30,30,0,15,0,deferred,gain,0,0,10
11,3017,27,30,0,15,0,deferred,gain,0,0,11
12,3017,24,30,0,15,1,deferred,gain,0,0,12
13,3017,21,30,0,15,1,deferred,gain,0,0,13
14,3017,18,30,0,15,1,deferred,gain,0,0,14
15,3017,15,30,0,15,1,deferred,gain,0,0,15
16,3017,12,30,0,15,1,deferred,gain,0,0,16
17,3017,9,30,0,15,1,deferred,gain,0,0,17
18,3017,6,30,0,15,1,deferred,gain,0,0,18
19,3017,3,30,0,15,1,deferred,gain,0,0,19
20,3017,30,30,0,56,0,deferred,gain,0,0,20
21,3017,27,30,0,56,0,deferred,gain,0,0,21
22,3017,24,30,0,56,0,deferred,gain,0,0,22
23,3017,21,30,0,56,0,deferred,gain,0,0,23
24,3017,18,30,0,56,1,deferred,gain,0,0,24
25,3017,15,30,0,56,1,deferred,gain,0,0,25
26,3017,12,30,0,56,1,deferred,gain,0,0,26
27,3017,9,30,0,56,1,deferred,gain,0,0,27
28,3017,6,30,0,56,1,deferred,gain,0,0,28
29,3017,3,30,0,56,1,deferred,gain,0,0,29
30,3017,30,30,0,7,0,deferred,gain,0,0,30
31,3017,27,30,0,7,1,deferred,gain,0,0,31
32,3017,24,30,0,7,1,deferred,gain,0,0,32
33,3017,21,30,0,7,1,deferred,gain,0,0,33
34,3017,18,30,0,7,1,deferred,gain,0,0,34
35,3017,15,30,0,7,1,deferred,gain,0,0,35
36,3017,12,30,0,7,1,deferred,gain,0,0,36
37,3017,9,30,0,7,1,deferred,gain,0,0,37
38,3017,6,30,0,7,1,deferred,gain,0,0,38
39,3017,3,30,0,7,1,deferred,gain,0,0,39
40,3017,30,30,0,101,0,deferred,gain,0,0,40
41,3017,27,30,0,101,0,deferred,gain,0,0,41
42,3017,24,30,0,101,0,deferred,gain,0,0,42
43,3017,21,30,0,101,0,deferred,gain,0,0,43
