,X,Participant,gender,lamount,ldealy,samount,sdelay,choices1,choice2,RT_first,pick_larger_position,block_order,RT_second,adjusting.order,condition,group,switch,mark1
10,60,1001,0,60,7,6,0,0,1,4.546538115,NA,1,NA,1,dgl,2,0,0
9,59,1001,0,60,7,12,0,0,1,3.057154894,NA,1,NA,1,dgl,2,0,0
8,58,1001,0,60,7,18,0,0,1,4.452470064,NA,1,NA,1,dgl,2,0,0
7,57,1001,0,60,7,24,0,0,1,6.663028002,NA,1,NA,1,dgl,2,0,0
6,56,1001,0,60,7,30,0,0,1,5.048224926,NA,1,NA,1,dgl,2,0,0
5,55,1001,0,60,7,36,0,0,1,5.236359119,NA,1,NA,1,dgl,2,1,0
4,54,1001,0,60,7,42,0,1,0,6.663028955,NA,1,NA,1,dgl,2,1,0
3,53,1001,0,60,7,48,0,1,0,4.076205969,NA,1,NA,1,dgl,2,0,0
2,52,1001,0,60,7,54,0,1,0,5.455846071,NA,1,NA,1,dgl,2,0,0
1,51,1001,0,60,7,60,0,1,0,20.7416141,NA,1,NA,1,dgl,2,0,0
20,70,1001,0,60,15,6,0,0,1,2.947410822,NA,1,NA,1,dgl,2,0,0
19,69,1001,0,60,15,12,0,0,1,3.511810064,NA,1,NA,1,dgl,2,1,0
18,68,1001,0,60,15,18,0,1,0,2.414366961,NA,1,NA,1,dgl,2,1,0
17,67,1001,0,60,15,24,0,1,0,3.950784922,NA,1,NA,1,dgl,2,0,0
16,66,1001,0,60,15,30,0,1,0,3.778331041,NA,1,NA,1,dgl,2,0,0
15,65,1001,0,60,15,36,0,1,0,3.025801182,NA,1,NA,1,dgl,2,0,0
14,64,1001,0,60,15,42,0,1,0,3.182576895,NA,1,NA,1,dgl,2,0,0
13,63,1001,0,60,15,48,0,1,0,2.916056156,NA,1,NA,1,dgl,2,0,0
12,62,1001,0,60,15,54,0,1,0,6.051599026,NA,1,NA,1,dgl,2,0,0
11,61,1001,0,60,15,60,0,1,0,4.327047825,NA,1,NA,1,dgl,2,0,0
40,90,1001,0,60,29,6,0,1,0,3.480454922,NA,1,NA,1,dgl,2,0,1
39,89,1001,0,60,29,12,0,1,0,2.006745815,NA,1,NA,1,dgl,2,0,1
38,88,1001,0,60,29,18,0,1,0,1.959715128,NA,1,NA,1,dgl,2,0,1
37,87,1001,0,60,29,24,0,1,0,3.182578087,NA,1,NA,1,dgl,2,0,1
36,86,1001,0,60,29,30,0,1,0,1.959712029,NA,1,NA,1,dgl,2,0,1
35,85,1001,0,60,29,36,0,1,0,1.316928864,NA,1,NA,1,dgl,2,0,1
34,84,1001,0,60,29,42,0,1,0,1.787261963,NA,1,NA,1,dgl,2,0,1
33,83,1001,0,60,29,48,0,1,0,3.841041088,NA,1,NA,1,dgl,2,0,1
32,82,1001,0,60,29,54,0,1,0,2.335978985,NA,1,NA,1,dgl,2,0,1
31,81,1001,0,60,29,60,0,1,0,7.619366169,NA,1,NA,1,dgl,2,1,1
50,100,1001,0,60,56,6,0,1,0,1.489385128,NA,1,NA,1,dgl,2,0,1
49,99,1001,0,60,56,12,0,1,0,2.116488934,NA,1,NA,1,dgl,2,0,1
48,98,1001,0,60,56,18,0,1,0,1.97539115,NA,1,NA,1,dgl,2,0,1
47,97,1001,0,60,56,24,0,1,0,2.241912842,NA,1,NA,1,dgl,2,0,1
46,96,1001,0,60,56,30,0,1,0,2.273273945,NA,1,NA,1,dgl,2,0,1
45,95,1001,0,60,56,36,0,1,0,3.543165922,NA,1,NA,1,dgl,2,0,1
44,94,1001,0,60,56,42,0,1,0,2.900377035,NA,1,NA,1,dgl,2,0,1
