Participant	block_order	trial	A	B	DA	DB	R	index	ID	PA	PB
4001	1	1	3	30	0	7	1	1	1	1	1
4001	1	2	6	30	0	7	1	1	1	1	1
4001	1	3	9	30	0	7	1	1	1	1	1
4001	1	4	12	30	0	7	1	1	1	1	1
4001	1	5	15	30	0	7	1	1	1	1	1
4001	1	6	18	30	0	7	1	1	1	1	1
4001	1	7	21	30	0	7	0	1	1	1	1
4001	1	8	24	30	0	7	0	1	1	1	1
4001	1	9	27	30	0	7	0	1	1	1	1
4001	1	10	30	30	0	7	0	1	1	1	1
4001	1	11	3	30	0	15	1	2	1	1	1
4001	1	12	6	30	0	15	1	2	1	1	1
4001	1	13	9	30	0	15	1	2	1	1	1
4001	1	14	12	30	0	15	0	2	1	1	1
4001	1	15	15	30	0	15	0	2	1	1	1
4001	1	16	18	30	0	15	0	2	1	1	1
4001	1	17	21	30	0	15	0	2	1	1	1
4001	1	18	24	30	0	15	0	2	1	1	1
4001	1	19	27	30	0	15	0	2	1	1	1
4001	1	20	30	30	0	15	0	2	1	1	1
4001	1	21	3	30	0	101	0	3	1	1	1
4001	1	22	6	30	0	101	0	3	1	1	1
4001	1	23	9	30	0	101	0	3	1	1	1
4001	1	24	12	30	0	101	0	3	1	1	1
4001	1	25	15	30	0	101	0	3	1	1	1
4001	1	26	18	30	0	101	0	3	1	1	1
4001	1	27	21	30	0	101	0	3	1	1	1
4001	1	28	24	30	0	101	0	3	1	1	1
4001	1	29	27	30	0	101	0	3	1	1	1
4001	1	30	30	30	0	101	0	3	1	1	1
4001	1	31	3	30	0	29	0	4	1	1	1
4001	1	32	6	30	0	29	0	4	1	1	1
4001	1	33	9	30	0	29	0	4	1	1	1
4001	1	34	12	30	0	29	0	4	1	1	1
4001	1	35	15	30	0	29	0	4	1	1	1
4001	1	36	18	30	0	29	0	4	1	1	1
4001	1	37	21	30	0	29	0	4	1	1	1
4001	1	38	24	30	0	29	0	4	1	1	1
4001	1	39	27	30	0	29	0	4	1	1	1
4001	1	40	30	30	0	29	0	4	1	1	1
4001	1	41	3	30	0	56	0	5	1	1	1
4001	1	42	6	30	0	56	0	5	1	1	1
4001	1	43	9	30	0	56	0	5	1	1	1
4001	1	44	12	30	0	56	0	5	1	1	1
4001	1	45	15	30	0	56	0	5	1	1	1
4001	1	46	18	30	0	56	0	5	1	1	1
4001	1	47	21	30	0	56	0	5	1	1	1
4001	1	48	24	30	0	56	0	5	1	1	1
4001	1	49	27	30	0	56	0	5	1	1	1
4001	1	50	30	30	0	56	0	5	1	1	1
4003	2	1	3	30	0	15	1	1	2	1	1
4003	2	2	6	30	0	15	1	1	2	1	1
4003	2	3	9	30	0	15	0	1	2	1	1
4003	2	4	12	30	0	15	0	1	2	1	1
4003	2	5	15	30	0	15	0	1	2	1	1
4003	2	6	18	30	0	15	0	1	2	1	1
4003	2	7	21	30	0	15	0	1	2	1	1
4003	2	8	24	30	0	15	0	1	2	1	1
4003	2	9	27	30	0	15	0	1	2	1	1
4003	2	10	30	30	0	15	0	1	2	1	1
4003	2	11	3	30	0	29	1	2	2	1	1
4003	2	12	6	30	0	29	1	2	2	1	1
4003	2	13	9	30	0	29	1	2	2	1	1
4003	2	14	12	30	0	29	1	2	2	1	1
4003	2	15	15	30	0	29	1	2	2	1	1
4003	2	16	18	30	0	29	1	2	2	1	1
4003	2	17	21	30	0	29	1	2	2	1	1
4003	2	18	24	30	0	29	1	2	2	1	1
4003	2	19	27	30	0	29	1	2	2	1	1
4003	2	20	30	30	0	29	0	2	2	1	1
4003	2	21	3	30	0	7	1	3	2	1	1
4003	2	22	6	30	0	7	1	3	2	1	1
4003	2	23	9	30	0	7	1	3	2	1	1
4003	2	24	12	30	0	7	1	3	2	1	1
4003	2	25	15	30	0	7	1	3	2	1	1
4003	2	26	18	30	0	7	1	3	2	1	1
4003	2	27	21	30	0	7	1	3	2	1	1
4003	2	28	24	30	0	7	1	3	2	1	1
4003	2	29	27	30	0	7	1	3	2	1	1
4003	2	30	30	30	0	7	1	3	2	1	1
4003	2	31	3	30	0	56	1	4	2	1	1
4003	2	32	6	30	0	56	1	4	2	1	1
4003	2	33	9	30	0	56	1	4	2	1	1
