Participant	block_order	trial	A	B	DA	DB	R	index	ID	PA	PB
4002	1	1	-3	-30	0	7	0	1	1	1	1
4002	1	2	-6	-30	0	7	0	1	1	1	1
4002	1	3	-9	-30	0	7	0	1	1	1	1
4002	1	4	-12	-30	0	7	0	1	1	1	1
4002	1	5	-15	-30	0	7	1	1	1	1	1
4002	1	6	-18	-30	0	7	0	1	1	1	1
4002	1	7	-21	-30	0	7	0	1	1	1	1
4002	1	8	-24	-30	0	7	0	1	1	1	1
4002	1	9	-27	-30	0	7	0	1	1	1	1
4002	1	10	-30	-30	0	7	1	1	1	1	1
4002	1	11	-3	-30	0	15	0	2	1	1	1
4002	1	12	-6	-30	0	15	0	2	1	1	1
4002	1	13	-9	-30	0	15	0	2	1	1	1
4002	1	14	-12	-30	0	15	0	2	1	1	1
4002	1	15	-15	-30	0	15	0	2	1	1	1
4002	1	16	-18	-30	0	15	0	2	1	1	1
4002	1	17	-21	-30	0	15	0	2	1	1	1
4002	1	18	-24	-30	0	15	0	2	1	1	1
4002	1	19	-27	-30	0	15	0	2	1	1	1
4002	1	20	-30	-30	0	15	1	2	1	1	1
4002	1	21	-3	-30	0	101	0	3	1	1	1
4002	1	22	-6	-30	0	101	1	3	1	1	1
4002	1	23	-9	-30	0	101	1	3	1	1	1
4002	1	24	-12	-30	0	101	1	3	1	1	1
4002	1	25	-15	-30	0	101	1	3	1	1	1
4002	1	26	-18	-30	0	101	1	3	1	1	1
4002	1	27	-21	-30	0	101	1	3	1	1	1
4002	1	28	-24	-30	0	101	1	3	1	1	1
4002	1	29	-27	-30	0	101	1	3	1	1	1
4002	1	30	-30	-30	0	101	1	3	1	1	1
4002	1	31	-3	-30	0	29	1	4	1	1	1
4002	1	32	-6	-30	0	29	1	4	1	1	1
4002	1	33	-9	-30	0	29	1	4	1	1	1
4002	1	34	-12	-30	0	29	1	4	1	1	1
4002	1	35	-15	-30	0	29	1	4	1	1	1
4002	1	36	-18	-30	0	29	1	4	1	1	1
4002	1	37	-21	-30	0	29	1	4	1	1	1
4002	1	38	-24	-30	0	29	1	4	1	1	1
4002	1	39	-27	-30	0	29	1	4	1	1	1
4002	1	40	-30	-30	0	29	1	4	1	1	1
4002	1	41	-3	-30	0	56	1	5	1	1	1
4002	1	42	-6	-30	0	56	1	5	1	1	1
4002	1	43	-9	-30	0	56	1	5	1	1	1
4002	1	44	-12	-30	0	56	1	5	1	1	1
4002	1	45	-15	-30	0	56	1	5	1	1	1
4002	1	46	-18	-30	0	56	1	5	1	1	1
4002	1	47	-21	-30	0	56	1	5	1	1	1
4002	1	48	-24	-30	0	56	1	5	1	1	1
4002	1	49	-27	-30	0	56	1	5	1	1	1
4002	1	50	-30	-30	0	56	1	5	1	1	1
4005	2	1	-30	-30	0	15	1	1	2	1	1
4005	2	2	-27	-30	0	15	0	1	2	1	1
4005	2	3	-24	-30	0	15	0	1	2	1	1
4005	2	4	-21	-30	0	15	0	1	2	1	1
4005	2	5	-18	-30	0	15	0	1	2	1	1
4005	2	6	-15	-30	0	15	0	1	2	1	1
4005	2	7	-12	-30	0	15	0	1	2	1	1
4005	2	8	-9	-30	0	15	0	1	2	1	1
4005	2	9	-6	-30	0	15	0	1	2	1	1
4005	2	10	-3	-30	0	15	0	1	2	1	1
4005	2	11	-30	-30	0	29	1	2	2	1	1
4005	2	12	-27	-30	0	29	1	2	2	1	1
4005	2	13	-24	-30	0	29	1	2	2	1	1
4005	2	14	-21	-30	0	29	0	2	2	1	1
4005	2	15	-18	-30	0	29	0	2	2	1	1
4005	2	16	-15	-30	0	29	0	2	2	1	1
4005	2	17	-12	-30	0	29	0	2	2	1	1
4005	2	18	-9	-30	0	29	0	2	2	1	1
4005	2	19	-6	-30	0	29	0	2	2	1	1
4005	2	20	-3	-30	0	29	0	2	2	1	1
4005	2	21	-30	-30	0	7	1	3	2	1	1
4005	2	22	-27	-30	0	7	0	3	2	1	1
4005	2	23	-24	-30	0	7	0	3	2	1	1
4005	2	24	-21	-30	0	7	0	3	2	1	1
4005	2	25	-18	-30	0	7	0	3	2	1	1
4005	2	26	-15	-30	0	7	0	3	2	1	1
4005	2	27	-12	-30	0	7	0	3	2	1	1
4005	2	28	-9	-30	0	7	0	3	2	1	1
4005	2	29	-6	-30	0	7	0	3	2	1	1
4005	2	30	-3	-30	0	7	0	3	2	1	1
4005	2	31	-30	-30	0	56	1	4	2	1	1
4005	2	32	-27	-30	0	56	1	4	2	1	1
4005	2	33	-24	-30	0	56	1	4	2	1	1
4005	2	34	-21	-30	0	56	1	4	2	1	1
4005	2	35	-18	-30	0	56	1	4	2	1	1
4005	2	36	-15	-30	0	56	0	4	2	1	1
4005	2	37	-12	-30	0	56	0	4	2	1	1
4005	2	38	-9	-30	0	56	0	4	2	1	1
4005	2	39	-6	-30	0	56	0	4	2	1	1
4005	2	40	-3	-30	0	56	0	4	2	1	1
4005	2	41	-30	-30	0	101	1	5	2	1	1
4005	2	42	-27	-30	0	101	1	5	2	1	1
4005	2	43	-24	-30	0	101	1	5	2	1	1
4005	2	44	-21	-30	0	101	1	5	2	1	1
4005	2	45	-18	-30	0	101	1	5	2	1	1
4005	2	46	-15	-30	0	101	1	5	2	1	1
4005	2	47	-12	-30	0	101	1	5	2	1	1
4005	2	48	-9	-30	0	101	0	5	2	1	1
4005	2	49	-6	-30	0	101	0	5	2	1	1
4005	2	50	-3	-30	0	101	0	5	2	1	1
4006	3	1	-30	-30	0	29	1	1	3	1	1
4006	3	2	-27	-30	0	29	0	1	3	1	1
4006	3	3	-24	-30	0	29	1	1	3	1	1
4006	3	4	-21	-30	0	29	0	1	3	1	1
4006	3	5	-18	-30	0	29	0	1	3	1	1
4006	3	6	-15	-30	0	29	0	1	3	1	1
4006	3	7	-12	-30	0	29	1	1	3	1	1
4006	3	8	-9	-30	0	29	0	1	3	1	1
4006	3	9	-6	-30	0	29	0	1	3	1	1
4006	3	10	-3	-30	0	29	1	1	3	1	1
4006	3	11	-30	-30	0	56	1	2	3	1	1
4006	3	12	-27	-30	0	56	1	2	3	1	1
4006	3	13	-24	-30	0	56	1	2	3	1	1
4006	3	14	-21	-30	0	56	1	2	3	1	1
4006	3	15	-18	-30	0	56	1	2	3	1	1
4006	3	16	-15	-30	0	56	1	2	3	1	1
4006	3	17	-12	-30	0	56	0	2	3	1	1
4006	3	18	-9	-30	0	56	1	2	3	1	1
4006	3	19	-6	-30	0	56	1	2	3	1	1
4006	3	20	-3	-30	0	56	0	2	3	1	1
4006	3	21	-30	-30	0	15	1	3	3	1	1
4006	3	22	-27	-30	0	15	1	3	3	1	1
4006	3	23	-24	-30	0	15	1	3	3	1	1
4006	3	24	-21	-30	0	15	1	3	3	1	1
4006	3	25	-18	-30	0	15	1	3	3	1	1
4006	3	26	-15	-30	0	15	0	3	3	1	1
4006	3	27	-12	-30	0	15	0	3	3	1	1
4006	3	28	-9	-30	0	15	0	3	3	1	1
4006	3	29	-6	-30	0	15	1	3	3	1	1
4006	3	30	-3	-30	0	15	1	3	3	1	1
4006	3	31	-30	-30	0	101	1	4	3	1	1
4006	3	32	-27	-30	0	101	1	4	3	1	1
4006	3	33	-24	-30	0	101	1	4	3	1	1
4006	3	34	-21	-30	0	101	1	4	3	1	1
4006	3	35	-18	-30	0	101	1	4	3	1	1
4006	3	36	-15	-30	0	101	1	4	3	1	1
4006	3	37	-12	-30	0	101	1	4	3	1	1
4006	3	38	-9	-30	0	101	1	4	3	1	1
4006	3	39	-6	-30	0	101	1	4	3	1	1
4006	3	40	-3	-30	0	101	1	4	3	1	1
4006	3	41	-30	-30	0	7	1	5	3	1	1
4006	3	42	-27	-30	0	7	0	5	3	1	1
4006	3	43	-24	-30	0	7	0	5	3	1	1
4006	3	44	-21	-30	0	7	1	5	3	1	1
4006	3	45	-18	-30	0	7	0	5	3	1	1
4006	3	46	-15	-30	0	7	1	5	3	1	1
4006	3	47	-12	-30	0	7	1	5	3	1	1
4006	3	48	-9	-30	0	7	1	5	3	1	1
4006	3	49	-6	-30	0	7	0	5	3	1	1
4006	3	50	-3	-30	0	7	0	5	3	1	1
4011	4	1	-3	-30	0	56	0	1	4	1	1
4011	4	2	-6	-30	0	56	1	1	4	1	1
4011	4	3	-9	-30	0	56	1	1	4	1	1
4011	4	4	-12	-30	0	56	1	1	4	1	1
4011	4	5	-15	-30	0	56	1	1	4	1	1
4011	4	6	-18	-30	0	56	1	1	4	1	1
4011	4	7	-21	-30	0	56	1	1	4	1	1
4011	4	8	-24	-30	0	56	1	1	4	1	1
4011	4	9	-27	-30	0	56	1	1	4	1	1
4011	4	10	-30	-30	0	56	0	1	4	1	1
4011	4	11	-3	-30	0	101	0	2	4	1	1
4011	4	12	-6	-30	0	101	0	2	4	1	1
4011	4	13	-9	-30	0	101	0	2	4	1	1
4011	4	14	-12	-30	0	101	0	2	4	1	1
4011	4	15	-15	-30	0	101	0	2	4	1	1
4011	4	16	-18	-30	0	101	1	2	4	1	1
4011	4	17	-21	-30	0	101	1	2	4	1	1
4011	4	18	-24	-30	0	101	1	2	4	1	1
4011	4	19	-27	-30	0	101	1	2	4	1	1
4011	4	20	-30	-30	0	101	1	2	4	1	1
4011	4	21	-3	-30	0	29	0	3	4	1	1
4011	4	22	-6	-30	0	29	0	3	4	1	1
4011	4	23	-9	-30	0	29	0	3	4	1	1
4011	4	24	-12	-30	0	29	0	3	4	1	1
4011	4	25	-15	-30	0	29	1	3	4	1	1
4011	4	26	-18	-30	0	29	1	3	4	1	1
4011	4	27	-21	-30	0	29	1	3	4	1	1
4011	4	28	-24	-30	0	29	1	3	4	1	1
4011	4	29	-27	-30	0	29	1	3	4	1	1
4011	4	30	-30	-30	0	29	1	3	4	1	1
4011	4	31	-3	-30	0	7	0	4	4	1	1
4011	4	32	-6	-30	0	7	0	4	4	1	1
4011	4	33	-9	-30	0	7	0	4	4	1	1
4011	4	34	-12	-30	0	7	0	4	4	1	1
4011	4	35	-15	-30	0	7	0	4	4	1	1
4011	4	36	-18	-30	0	7	1	4	4	1	1
4011	4	37	-21	-30	0	7	1	4	4	1	1
4011	4	38	-24	-30	0	7	1	4	4	1	1
4011	4	39	-27	-30	0	7	1	4	4	1	1
4011	4	40	-30	-30	0	7	1	4	4	1	1
4011	4	41	-3	-30	0	15	0	5	4	1	1
4011	4	42	-6	-30	0	15	0	5	4	1	1
4011	4	43	-9	-30	0	15	0	5	4	1	1
4011	4	44	-12	-30	0	15	0	5	4	1	1
4011	4	45	-15	-30	0	15	0	5	4	1	1
4011	4	46	-18	-30	0	15	1	5	4	1	1
4011	4	47	-21	-30	0	15	1	5	4	1	1
4011	4	48	-24	-30	0	15	1	5	4	1	1
4011	4	49	-27	-30	0	15	1	5	4	1	1
4011	4	50	-30	-30	0	15	1	5	4	1	1
4014	6	1	-3	-30	0	56	0	1	5	1	1
4014	6	2	-6	-30	0	56	0	1	5	1	1
4014	6	3	-9	-30	0	56	0	1	5	1	1
4014	6	4	-12	-30	0	56	0	1	5	1	1
4014	6	5	-15	-30	0	56	0	1	5	1	1
4014	6	6	-18	-30	0	56	1	1	5	1	1
4014	6	7	-21	-30	0	56	1	1	5	1	1
4014	6	8	-24	-30	0	56	1	1	5	1	1
4014	6	9	-27	-30	0	56	1	1	5	1	1
4014	6	10	-30	-30	0	56	1	1	5	1	1
4014	6	11	-3	-30	0	29	0	2	5	1	1
4014	6	12	-6	-30	0	29	0	2	5	1	1
4014	6	13	-9	-30	0	29	0	2	5	1	1
4014	6	14	-12	-30	0	29	0	2	5	1	1
4014	6	15	-15	-30	0	29	0	2	5	1	1
4014	6	16	-18	-30	0	29	0	2	5	1	1
4014	6	17	-21	-30	0	29	0	2	5	1	1
4014	6	18	-24	-30	0	29	0	2	5	1	1
4014	6	19	-27	-30	0	29	1	2	5	1	1
4014	6	20	-30	-30	0	29	1	2	5	1	1
4014	6	21	-3	-30	0	101	1	3	5	1	1
4014	6	22	-6	-30	0	101	1	3	5	1	1
4014	6	23	-9	-30	0	101	1	3	5	1	1
4014	6	24	-12	-30	0	101	1	3	5	1	1
4014	6	25	-15	-30	0	101	1	3	5	1	1
4014	6	26	-18	-30	0	101	1	3	5	1	1
4014	6	27	-21	-30	0	101	1	3	5	1	1
4014	6	28	-24	-30	0	101	1	3	5	1	1
4014	6	29	-27	-30	0	101	1	3	5	1	1
4014	6	30	-30	-30	0	101	1	3	5	1	1
4014	6	31	-3	-30	0	15	0	4	5	1	1
4014	6	32	-6	-30	0	15	0	4	5	1	1
4014	6	33	-9	-30	0	15	0	4	5	1	1
4014	6	34	-12	-30	0	15	0	4	5	1	1
4014	6	35	-15	-30	0	15	0	4	5	1	1
4014	6	36	-18	-30	0	15	0	4	5	1	1
4014	6	37	-21	-30	0	15	0	4	5	1	1
4014	6	38	-24	-30	0	15	0	4	5	1	1
4014	6	39	-27	-30	0	15	1	4	5	1	1
4014	6	40	-30	-30	0	15	1	4	5	1	1
