,Participant,gender,lamount,ldealy,samount,sdelay,choices1,choice2,RT_first,pick_larger_position,block.order,RT_second,adjusting.order,condition
1401,3001,1,30,7,30,0,0,1,16.437186,NA,1,NA,1,dgs
1402,3001,1,30,7,27,0,0,1,6.687381029,NA,1,NA,1,dgs
1403,3001,1,30,7,24,0,1,0,4.515543938,NA,1,NA,1,dgs
1404,3001,1,30,7,21,0,0,1,6.140513182,NA,1,NA,1,dgs
1405,3001,1,30,7,18,0,1,0,4.374920845,NA,1,NA,1,dgs
1406,3001,1,30,7,15,0,1,0,3.374940157,NA,1,NA,1,dgs
1407,3001,1,30,7,12,0,1,0,4.093675137,NA,1,NA,1,dgs
1408,3001,1,30,7,9,0,1,0,4.281172037,NA,1,NA,1,dgs
1409,3001,1,30,7,6,0,1,0,3.515559912,NA,1,NA,1,dgs
1410,3001,1,30,7,3,0,1,0,3.984302044,NA,1,NA,1,dgs
1411,3001,1,30,15,30,0,0,1,4.328044176,NA,1,NA,1,dgs
1412,3001,1,30,15,27,0,0,1,4.640540838,NA,1,NA,1,dgs
1413,3001,1,30,15,24,0,0,1,5.203028917,NA,1,NA,1,dgs
1414,3001,1,30,15,21,0,1,0,5.562399149,NA,1,NA,1,dgs
1415,3001,1,30,15,18,0,1,0,3.968677998,NA,1,NA,1,dgs
1416,3001,1,30,15,15,0,0,1,4.87491107,NA,1,NA,1,dgs
1417,3001,1,30,15,12,0,1,0,2.890573978,NA,1,NA,1,dgs
1418,3001,1,30,15,9,0,1,0,3.062444925,NA,1,NA,1,dgs
1419,3001,1,30,15,6,0,1,0,3.593682051,NA,1,NA,1,dgs
1420,3001,1,30,15,3,0,1,0,5.624896049,NA,1,NA,1,dgs
1421,3001,1,30,101,30,0,0,1,5.062406063,NA,1,NA,1,dgs
1422,3001,1,30,101,27,0,0,1,4.531168938,NA,1,NA,1,dgs
1423,3001,1,30,101,24,0,0,1,3.906180143,NA,1,NA,1,dgs
1424,3001,1,30,101,21,0,1,0,3.874931097,NA,1,NA,1,dgs
1425,3001,1,30,101,18,0,1,0,4.499918938,NA,1,NA,1,dgs
1426,3001,1,30,101,15,0,1,0,4.406169176,NA,1,NA,1,dgs
1427,3001,1,30,101,12,0,1,0,3.890553951,NA,1,NA,1,dgs
1428,3001,1,30,101,9,0,0,1,4.578041792,NA,1,NA,1,dgs
1429,3001,1,30,101,6,0,1,0,2.218709946,NA,1,NA,1,dgs
1430,3001,1,30,101,3,0,1,0,3.374938965,NA,1,NA,1,dgs
1431,3001,1,30,29,30,0,0,1,3.374937773,NA,1,NA,1,dgs
1432,3001,1,30,29,27,0,0,1,4.406171083,NA,1,NA,1,dgs
1433,3001,1,30,29,24,0,1,0,4.499917984,NA,1,NA,1,dgs
