Participant,block_order,group,trial,A,B,DA,DB,R,index
1067,5,2,1,6,60,0,101,1,1
1067,5,2,2,12,60,0,101,1,1
1067,5,2,3,18,60,0,101,1,1
1067,5,2,4,24,60,0,101,1,1
1067,5,2,5,30,60,0,101,1,1
1067,5,2,6,36,60,0,101,1,1
1067,5,2,7,42,60,0,101,0,1
1067,5,2,8,48,60,0,101,0,1
1067,5,2,9,54,60,0,101,0,1
1067,5,2,10,60,60,0,101,0,1
1067,5,2,11,6,60,0,7,1,2
1067,5,2,12,12,60,0,7,1,2
1067,5,2,13,18,60,0,7,1,2
1067,5,2,14,24,60,0,7,1,2
1067,5,2,15,30,60,0,7,1,2
1067,5,2,16,36,60,0,7,1,2
1067,5,2,17,42,60,0,7,1,2
1067,5,2,18,48,60,0,7,1,2
1067,5,2,19,54,60,0,7,0,2
1067,5,2,20,60,60,0,7,0,2
1067,5,2,21,6,60,0,56,1,3
1067,5,2,22,12,60,0,56,1,3
1067,5,2,23,18,60,0,56,1,3
1067,5,2,24,24,60,0,56,1,3
1067,5,2,25,30,60,0,56,1,3
1067,5,2,26,36,60,0,56,1,3
1067,5,2,27,42,60,0,56,1,3
1067,5,2,28,48,60,0,56,0,3
1067,5,2,29,54,60,0,56,0,3
1067,5,2,30,60,60,0,56,0,3
1067,5,2,31,6,60,0,15,1,4
1067,5,2,32,12,60,0,15,1,4
1067,5,2,33,18,60,0,15,1,4
1067,5,2,34,24,60,0,15,1,4
1067,5,2,35,30,60,0,15,1,4
1067,5,2,36,36,60,0,15,1,4
1067,5,2,37,42,60,0,15,1,4
1067,5,2,38,48,60,0,15,0,4
1067,5,2,39,54,60,0,15,0,4
1067,5,2,40,60,60,0,15,0,4
1067,5,2,41,6,60,0,29,1,5
1067,5,2,42,12,60,0,29,1,5
1067,5,2,43,18,60,0,29,1,5
1067,5,2,44,24,60,0,29,1,5
1067,5,2,45,30,60,0,29,1,5
1067,5,2,46,36,60,0,29,1,5
1067,5,2,47,42,60,0,29,1,5
1067,5,2,48,48,60,0,29,0,5
1067,5,2,49,54,60,0,29,0,5
1067,5,2,50,60,60,0,29,0,5
