Participant,block_order,group,trial,A,B,DA,DB,R,index
2059,10,4,1,60,60,0,29,0,1
2059,10,4,2,54,60,0,29,0,1
2059,10,4,3,48,60,0,29,0,1
2059,10,4,4,42,60,0,29,1,1
2059,10,4,5,36,60,0,29,1,1
2059,10,4,6,30,60,0,29,1,1
2059,10,4,7,24,60,0,29,1,1
2059,10,4,8,18,60,0,29,1,1
2059,10,4,9,12,60,0,29,1,1
2059,10,4,10,6,60,0,29,1,1
2059,10,4,11,60,60,0,15,0,2
2059,10,4,12,54,60,0,15,1,2
2059,10,4,13,48,60,0,15,1,2
2059,10,4,14,42,60,0,15,1,2
2059,10,4,15,36,60,0,15,1,2
2059,10,4,16,30,60,0,15,1,2
2059,10,4,17,24,60,0,15,1,2
2059,10,4,18,18,60,0,15,1,2
2059,10,4,19,12,60,0,15,1,2
2059,10,4,20,6,60,0,15,1,2
2059,10,4,21,60,60,0,56,0,3
2059,10,4,22,54,60,0,56,0,3
2059,10,4,23,48,60,0,56,0,3
2059,10,4,24,42,60,0,56,0,3
2059,10,4,25,36,60,0,56,1,3
2059,10,4,26,30,60,0,56,1,3
2059,10,4,27,24,60,0,56,1,3
2059,10,4,28,18,60,0,56,1,3
2059,10,4,29,12,60,0,56,1,3
2059,10,4,30,6,60,0,56,1,3
2059,10,4,31,60,60,0,7,0,4
2059,10,4,32,54,60,0,7,0,4
2059,10,4,33,48,60,0,7,1,4
2059,10,4,34,42,60,0,7,1,4
2059,10,4,35,36,60,0,7,1,4
2059,10,4,36,30,60,0,7,1,4
2059,10,4,37,24,60,0,7,1,4
2059,10,4,38,18,60,0,7,1,4
2059,10,4,39,12,60,0,7,1,4
2059,10,4,40,6,60,0,7,1,4
2059,10,4,41,60,60,0,101,0,5
2059,10,4,42,54,60,0,101,0,5
2059,10,4,43,48,60,0,101,0,5
2059,10,4,44,42,60,0,101,0,5
2059,10,4,45,36,60,0,101,0,5
2059,10,4,46,30,60,0,101,0,5
2059,10,4,47,24,60,0,101,0,5
2059,10,4,48,18,60,0,101,0,5
2059,10,4,49,12,60,0,101,0,5
2059,10,4,50,6,60,0,101,0,5
