Participant,block_order,trial,A,B,DA,DB,R,index
3062,9,1,-3,-30,0,15,0,1
3062,9,2,-6,-30,0,15,0,1
3062,9,3,-9,-30,0,15,0,1
3062,9,4,-12,-30,0,15,0,1
3062,9,5,-15,-30,0,15,0,1
3062,9,6,-18,-30,0,15,1,1
3062,9,7,-21,-30,0,15,0,1
3062,9,8,-24,-30,0,15,1,1
3062,9,9,-27,-30,0,15,1,1
3062,9,10,-30,-30,0,15,1,1
3062,9,11,-3,-30,0,7,0,2
3062,9,12,-6,-30,0,7,0,2
3062,9,13,-9,-30,0,7,0,2
3062,9,14,-12,-30,0,7,0,2
3062,9,15,-15,-30,0,7,0,2
3062,9,16,-18,-30,0,7,0,2
3062,9,17,-21,-30,0,7,0,2
3062,9,18,-24,-30,0,7,0,2
3062,9,19,-27,-30,0,7,1,2
3062,9,20,-30,-30,0,7,1,2
3062,9,21,-3,-30,0,29,0,3
3062,9,22,-6,-30,0,29,0,3
3062,9,23,-9,-30,0,29,0,3
3062,9,24,-12,-30,0,29,1,3
3062,9,25,-15,-30,0,29,1,3
3062,9,26,-18,-30,0,29,1,3
3062,9,27,-21,-30,0,29,1,3
3062,9,28,-24,-30,0,29,1,3
3062,9,29,-27,-30,0,29,1,3
3062,9,30,-30,-30,0,29,1,3
3062,9,31,-3,-30,0,101,1,4
3062,9,32,-6,-30,0,101,1,4
3062,9,33,-9,-30,0,101,1,4
3062,9,34,-12,-30,0,101,1,4
3062,9,35,-15,-30,0,101,1,4
3062,9,36,-18,-30,0,101,1,4
3062,9,37,-21,-30,0,101,1,4
3062,9,38,-24,-30,0,101,1,4
3062,9,39,-27,-30,0,101,1,4
3062,9,40,-30,-30,0,101,1,4
3062,9,41,-3,-30,0,56,0,5
3062,9,42,-6,-30,0,56,0,5
3062,9,43,-9,-30,0,56,0,5
3062,9,44,-12,-30,0,56,0,5
3062,9,45,-15,-30,0,56,0,5
3062,9,46,-18,-30,0,56,0,5
3062,9,47,-21,-30,0,56,1,5
3062,9,48,-24,-30,0,56,1,5
3062,9,49,-27,-30,0,56,1,5
3062,9,50,-30,-30,0,56,1,5
