,Participant,gender,lamount,ldealy,samount,sdelay,choices1,choice2,RT_first,pick_larger_position,block.order,RT_second,adjusting.order,condition
1501,4001,0,30,7,3,0,2,1,21.12407184,843,1,23.40522718,0,egs
1502,4001,0,30,7,6,0,2,1,4.515424967,843,1,25.17077613,0,egs
1503,4001,0,30,7,9,0,2,1,3.515469074,843,1,23.20211101,0,egs
1504,4001,0,30,7,12,0,2,1,1.624929905,843,1,24.60829902,0,egs
1505,4001,0,30,7,15,0,2,1,2.906121016,843,1,23.32710505,0,egs
1506,4001,0,30,7,18,0,2,1,1.499933958,843,1,24.70204496,0,egs
1507,4001,0,30,7,21,0,1,0,3.171735048,99,1,2.359432936,0,egs
1508,4001,0,30,7,24,0,1,0,2.640897989,72,1,1.625174999,0,egs
1509,4001,0,30,7,27,0,1,0,0.968852997,56,1,1.203255177,0,egs
1510,4001,0,30,7,30,0,1,0,0.734451056,46,1,0.921972036,0,egs
1511,4001,0,30,15,3,0,2,1,6.360031843,843,1,27.76850414,0,egs
1512,4001,0,30,15,6,0,2,1,1.171994925,843,1,31.67516088,0,egs
1513,4001,0,30,15,9,0,2,1,1.265755892,843,1,29.00300717,0,egs
1514,4001,0,30,15,12,0,1,0,0.703199148,29,1,1.484529972,0,egs
1515,4001,0,30,15,15,0,1,0,1.281383038,44,1,1.109493017,0,egs
1516,4001,0,30,15,18,0,1,0,0.687568903,53,1,1.437653065,0,egs
1517,4001,0,30,15,21,0,1,0,1.078234911,41,1,1.031359911,0,egs
1518,4001,0,30,15,24,0,1,0,0.593811989,36,1,0.875093937,0,egs
1519,4001,0,30,15,27,0,1,0,0.437543869,35,1,0.859471083,0,egs
1520,4001,0,30,15,30,0,1,0,0.484423876,36,1,0.890723944,0,egs
1521,4001,0,30,101,3,0,1,0,2.218980074,15,1,0.968852043,0,egs
1522,4001,0,30,101,6,0,1,0,0.453171968,15,1,1.046985149,0,egs
1523,4001,0,30,101,9,0,2,0,0.531305075,17,1,1.375144005,0,egs
1524,4001,0,30,101,12,0,1,0,1.281383038,18,1,1.531409025,0,egs
1525,4001,0,30,101,15,0,1,0,1.109493017,15,1,0.906345844,0,egs
1526,4001,0,30,101,18,0,1,0,1.140742064,15,1,1.046988964,0,egs
1527,4001,0,30,101,21,0,1,0,1.281383038,15,1,1.015731096,0,egs
1528,4001,0,30,101,24,0,1,0,0.515679121,16,1,1.078238964,0,egs
1529,4001,0,30,101,27,0,1,0,0.640690804,15,1,0.984477997,0,egs
1530,4001,0,30,101,30,0,1,0,0.734451056,15,1,0.875093937,0,egs
1531,4001,0,30,29,3,0,1,0,3.312844038,31,1,1.156377077,0,egs
1532,4001,0,30,29,6,0,1,0,1.203248978,27,1,0.953230858,0,egs
1533,4001,0,30,29,9,0,1,0,0.375036955,27,1,0.953228951,0,egs
1534,4001,0,30,29,12,0,1,0,1.171994925,26,1,0.89072299,0,egs
1535,4001,0,30,29,15,0,1,0,0.984477043,25,1,0.843837976,0,egs
1536,4001,0,30,29,18,0,1,0,0.640690088,19,1,0.937598944,0,egs
1537,4001,0,30,29,21,0,1,0,1.250129938,27,1,0.93759799,0,egs
1538,4001,0,30,29,24,0,1,0,0.609436989,25,1,0.828215122,0,egs
1539,4001,0,30,29,27,0,1,0,1.171994925,34,1,1.281384945,0,egs
1540,4001,0,30,29,30,0,1,0,0.406294107,34,1,1.343891859,0,egs
1541,4001,0,30,56,3,0,1,0,2.656522989,20,1,1.031359911,0,egs
1542,4001,0,30,56,6,0,1,0,0.484426022,18,1,0.87509203,0,egs
1543,4001,0,30,56,9,0,1,0,0.906344891,19,1,0.953227043,0,egs
1544,4001,0,30,56,12,0,1,0,0.921972036,18,1,0.875091076,0,egs
1545,4001,0,30,56,15,0,1,0,0.437545061,19,1,0.968851089,0,egs
1546,4001,0,30,56,18,0,1,0,0.953222036,18,1,0.843839169,0,egs
1547,4001,0,30,56,21,0,1,0,0.906342983,17,1,0.718832016,0,egs
